ci,na,co,lo,la,z
Salto,(GMT-03:00) Uruguay,Uruguay,-31.39999962,-57.96666718,Uruguay Standard Time
Salvador,"(GMT-03:00) Georgetown, South America Eastern Time",Brazil,-11.03333378,-37.51638794,SA Eastern Standard Time
Salzburg,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Austria,47.90000153,13.05000019,W. Europe Standard Time
Samara,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,53.13333511,50.09972382,Russian Standard Time
Samsun,(GMT+02:00) Turkey,Turkey,41.29277802,36.33139038,Turkey Standard Time
"San Antonio, TX",(GMT-06:00) Central Time (US & Canada),United States,29.42499924,-98.4936142,Central Standard Time
"San Bruno, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.62749863,-122.4313889,Pacific Standard Time
San Carlos,(GMT-03:00) Uruguay,Uruguay,-34.79999924,-54.91666794,Uruguay Standard Time
San Carlos,(GMT-07:00) Arizona,Mexico,27.96388817,-111.0436096,US Mountain Standard Time
"San Diego, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,32.71888733,-117.163887,Pacific Standard Time
"San Francisco, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.78305435,-122.4333344,Pacific Standard Time
San Jose,(GMT-06:00) Central America,Costa Rica,9.933333397,-84.08333588,Central America Standard Time
"San Jose, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.33333206,-121.9000015,Pacific Standard Time
San Juan,(GMT-04:00) La Paz,Puerto Rico,18.43333244,-66.1333313,SA Western Standard Time
San Juan,"(GMT-03:00) Georgetown, South America Eastern Time",Argentina,-31.53444481,-68.52694702,SA Eastern Standard Time
San Lorenzo,(GMT-03:00) Argentina,Argentina,-32.75,-60.76638794,Argentina Standard Time
San Luis,"(GMT-03:00) San Luis, Argentina",Argentina,-33.31583405,-66.34750366,Argentina - San Luis Standard Time
"San Luis Obispo, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,35.28277588,-120.6586075,Pacific Standard Time
San Marino,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",San Marino,43.95000076,12.44999981,W. Europe Standard Time
"San Mateo, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.56666565,-122.3333359,Pacific Standard Time
San Pedro Sula,(GMT-06:00) Central America,Honduras,15.5,-88.03305817,Central America Standard Time
San Salvador,(GMT-06:00) Central America,El Salvador,13.69999981,-89.19999695,Central America Standard Time
San Sebastian,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,43.31666565,-1.983333349,Romance Standard Time
San Sebastian del Oeste,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,20.76111031,-104.8527756,Mexico Standard Time
Sanaa,"(GMT+03:00) Kuwait, Riyadh",Yemen,15.35000038,44.20000076,Arab Standard Time
Santa Ana,(GMT-06:00) Central America,El Salvador,13.99611092,-89.55249786,Central America Standard Time
Santa Clara,(GMT-05:00) Cuba Standard Time,Cuba,22.41638947,-79.96666718,Cuba Standard Time
"Santa Clara, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.34999847,-121.9499969,Pacific Standard Time
Santa Cruz,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,13.48055553,122.0325012,Singapore Standard Time
Santa Cruz de Tenerife,"(GMT) Dublin, Edinburgh, Lisbon, London",Spain,28.46666718,-16.25,GMT Standard Time
Santa Fe,(GMT-03:00) Argentina,Argentina,-31.61666679,-60.70000076,Argentina Standard Time
"Santa Fe, NM",(GMT-07:00) Mountain Time (US & Canada),United States,35.68166733,-105.9380569,Mountain Standard Time
Santa Rosa,(GMT-06:00) Central America,Honduras,14.76638889,-88.78305817,Central America Standard Time
Santa Rosa,"(GMT-03:00) Georgetown, South America Eastern Time",Argentina,-36.62749863,-64.28778076,SA Eastern Standard Time
Santarem,"(GMT-03:00) Georgetown, South America Eastern Time",Brazil,-2.440555573,-54.69861221,SA Eastern Standard Time
Santiago,(GMT-04:00) Chile,Chile,-33.44999695,-70.66670227,Chile Standard Time
Santiago,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,25.42777824,-100.1508331,Mexico Standard Time
Santiago de Cuba,(GMT-05:00) Cuba Standard Time,Cuba,20.01638794,-75.81639099,Cuba Standard Time
Santo Domingo,(GMT-04:00) La Paz,Dominican Republic,18.48333359,-69.91666412,SA Western Standard Time
Sanxiang,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,22.35000038,113.4166641,China Standard Time
Sao Jose do Rio Preto,(GMT-03:00) Brasilia,Brazil,-20.80805588,-49.38083267,E. South America Standard Time
Sao Paulo,(GMT-03:00) Brasilia,Brazil,-22.43333244,-45.36666489,E. South America Standard Time
Sao Tome,(GMT) Greenwich Mean Time,Sao Tome and Principe,0.333333343,6.733333111,Greenwich Standard Time
Sapporo,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,43.05470276,141.3539124,Tokyo Standard Time
Sarajevo,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Bosnia and Herzegovina,43.86666489,18.41666603,Central European Standard Time
Saransk,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,54.18333435,45.16666794,Russian Standard Time
"Saskatoon, SK",(GMT-06:00) Saskatchewan,Canada,52.12916565,-106.6702805,Canada Central Standard Time
"Saxonburg, PA",(GMT-05:00) Eastern Time (US & Canada),United States,40.75,-79.81666565,Eastern Standard Time
Schaffhausen,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Switzerland,47.70000076,8.633333206,W. Europe Standard Time
"Seattle, WA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,47.62083435,-122.3475037,Pacific Standard Time
Secunderabad,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,17.49916649,78.54194641,India Standard Time
Semarang,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Indonesia,-6.966666698,110.4333344,SE Asia Standard Time
Sendai,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,38.25,140.8833313,Tokyo Standard Time
Seoul,(GMT+09:00) Seoul,"Korea, South",37.54999924,126.9666672,Korea Standard Time
Sergiev Posad,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,56.31666565,38.1333313,Russian Standard Time
Sete,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.40166855,3.696666718,Romance Standard Time
Sevastopol,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,44.59999847,33.53333282,FLE Standard Time
Severodonetsk,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,48.95027924,38.49750137,FLE Standard Time
Sevilla,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,37.38333511,-5.966666698,Romance Standard Time
Shanghai,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,31.23333359,121.4499969,China Standard Time
Shannon,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,52.70000076,-8.916666985,GMT Standard Time
Sharjah,"(GMT+04:00) Abu Dhabi, Muscat",United Arab Emirates,25.37194443,55.41055679,Arabian Standard Time
Sharm El Sheikh,(GMT+02:00) Cairo,Egypt,27.97805595,34.39166641,Egypt Standard Time
Sheffield,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,53.38305664,-1.464722276,GMT Standard Time
Shekou,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,22.48861122,113.9180527,China Standard Time
Shenyang,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,41.79999924,123.3833313,China Standard Time
Shenzhen,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,22.54999924,114.1166687,China Standard Time
Shijiazhuang,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,38.04999924,114.5,China Standard Time
Shikarpur,(GMT+05:00) Pakistan,Pakistan,27.96166611,68.64221954,Pakistan Standard Time
Shimla,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,31.10361099,77.16444397,India Standard Time
Shiraz,(GMT+03:30) Tehran,Iran,29.60194397,52.53138733,Iran Standard Time
Sialkot,(GMT+05:00) Pakistan,Pakistan,32.51666641,74.55527496,Pakistan Standard Time
Sibiu,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Romania,45.78333282,24.14999962,FLE Standard Time
Siem Reap,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Cambodia,13.35888863,103.8616638,SE Asia Standard Time
Sigiriya,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",Sri Lanka,7.958055496,80.72916412,India Standard Time
Silang,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,14.23055553,120.9749985,Singapore Standard Time
Simferopol,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,44.95000076,34.09999847,FLE Standard Time
Sines,"(GMT) Dublin, Edinburgh, Lisbon, London",Portugal,37.95000076,-8.866666794,GMT Standard Time
Singapore,"(GMT+08:00) Kuala Lumpur, Singapore",Singapore,1.299999952,103.8499985,Singapore Standard Time
Sittard,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Netherlands,51,5.866666794,W. Europe Standard Time
Skopje,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Macedonia,42,21.43330383,Central European Standard Time
Sligo,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,54.28333282,-8.466666222,GMT Standard Time
Sliven,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Bulgaria,42.69055557,26.33277702,FLE Standard Time
Sneek,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Netherlands,53.03388977,5.661110878,W. Europe Standard Time
Sochi,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,43.56666565,39.75,Russian Standard Time
Sofia,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Bulgaria,42.68330383,23.31669617,FLE Standard Time
Solovki,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,65.0166626,35.73333359,Russian Standard Time
Songkhla,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Thailand,7.197500229,100.5977783,SE Asia Standard Time
"South Jordan, UT",(GMT-07:00) Mountain Time (US & Canada),United States,40.56222153,-111.9297256,Mountain Standard Time
South Tarawa,(GMT+12:00) Marshall Islands,Kiribati,1.316666722,172.9666595,Marshall Islands Standard Time
Spijkenisse,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Netherlands,51.83333206,4.333333015,W. Europe Standard Time
"Spokane, WA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,47.65361023,-117.4113922,Pacific Standard Time
"St. Catharines, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,43.16666794,-79.25,Eastern Standard Time
St. John's,(GMT-04:00) La Paz,Antigua and Barbuda,17.11666679,-61.83333206,SA Western Standard Time
"St. John's, NL",(GMT-03:30) Newfoundland,Canada,47.57666779,-52.70111084,Newfoundland Standard Time
"St. Louis, MO",(GMT-06:00) Central Time (US & Canada),United States,38.63333511,-90.19999695,Central Standard Time
"St. Paul, MN",(GMT-06:00) Central Time (US & Canada),United States,44.94472122,-93.10277557,Central Standard Time
St. Petersburg,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,59.89439392,30.26420593,Russian Standard Time
"Stamford, CT",(GMT-05:00) Eastern Time (US & Canada),United States,41.05527878,-73.53111267,Eastern Standard Time
Stanley,(GMT-03:00) Falkland Islands,Falkland Islands,-51.70000076,-57.84972382,Falkland Islands Standard Time
Stavanger,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,58.96666718,5.733333111,W. Europe Standard Time
Stavropol,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,45.06666565,41.96666718,Russian Standard Time
Steinkjer,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,64.01667023,11.5,W. Europe Standard Time
Stenungsund,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,58.06666565,11.83333302,W. Europe Standard Time
Stockholm,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,59.33300018,18.04999924,W. Europe Standard Time
Strasbourg,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,48.5830574,7.743888855,Romance Standard Time
Stuttgart,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,48.78333282,9.183333397,W. Europe Standard Time
Suifenhe,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,44.3955574,131.140274,China Standard Time
Sulaimaniya,(GMT+03:00) Baghdad,Iraq,35.5616684,45.44055557,Arabic Standard Time
Sullana,"(GMT-05:00) Bogota, Lima, Quito",Peru,-4.891944408,-80.68416595,SA Pacific Standard Time
Sundsvall,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,62.40000153,17.33333397,W. Europe Standard Time
"Sunnyvale, CA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,37.36888885,-122.0352783,Pacific Standard Time
Surabaya,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Indonesia,-7.283333302,112.7333298,SE Asia Standard Time
Surat,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,21.19499969,72.81944275,India Standard Time
"Surprise, AZ",(GMT-07:00) Arizona,United States,33.63833237,-112.4550018,US Mountain Standard Time
Suva,(GMT+12:00) Fiji,Fiji,-18.01333427,178.4166718,Fiji Standard Time
Suzdal,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,56.41666794,40.45000076,Russian Standard Time
Suzhou,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,33.63333511,117,China Standard Time
Swansea,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,51.63333511,-3.950000048,GMT Standard Time
Swindon,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,51.56138992,-1.765833378,GMT Standard Time
Sydney,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-33.86666489,151.2166595,AUS Eastern Standard Time
"Sydney, NS",(GMT-04:00) Atlantic Time (Canada),Canada,46.15000153,-60.20000076,Atlantic Standard Time
"Syracuse, NY",(GMT-05:00) Eastern Time (US & Canada),United States,43.04805374,-76.14778137,Eastern Standard Time
Szombathely,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",Hungary,47.23555374,16.62138939,Central Europe Standard Time
"Tacoma, WA",(GMT-08:00) Pacific Time (US & Canada); Tijuana,United States,47.25305557,-122.4430542,Pacific Standard Time
Tacuarembo,(GMT-03:00) Uruguay,Uruguay,-31.70000076,-55.98333359,Uruguay Standard Time
Taganrog,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,47.21666718,38.91666794,Russian Standard Time
Taguig,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,14.52111149,121.0622253,Singapore Standard Time
Taian,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,36.18333435,117.1333313,China Standard Time
Taichung,(GMT+08:00) Taipei,Taiwan,24.14999962,120.6666641,Taipei Standard Time
Taif,"(GMT+03:00) Kuwait, Riyadh",Saudi Arabia,21.27722168,40.42111206,Arab Standard Time
Taiohae,(GMT-09:30) Marquesas Islands,French Polynesia,-8.906666756,-140.1036072,Marquesas Islands Standard Time
Taipei,(GMT+08:00) Taipei,Taiwan,25.04999924,121.5249939,Taipei Standard Time
Taiyuan,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,37.89305496,112.5516663,China Standard Time
Taiz,"(GMT+03:00) Kuwait, Riyadh",Yemen,13.56972218,44.01472092,Arab Standard Time
Takrouna,(GMT+01:00) West Central Africa,Tunisia,36.1511116,10.32861137,W. Central Africa Standard Time
Tallinn,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Estonia,59.41666794,24.75,FLE Standard Time
"Tampa, FL",(GMT-05:00) Eastern Time (US & Canada),United States,27.95000076,-82.46666718,Eastern Standard Time
Tamuning,"(GMT+10:00) Guam, Port Moresby",Guam,13.48388863,144.7766724,West Pacific Standard Time
Tanggu,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,39,117.6833344,China Standard Time
Tangshan,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,39.61666489,118.1833344,China Standard Time
Tanjay City,"(GMT+08:00) Kuala Lumpur, Singapore",Philippines,9.519721985,123.160553,Singapore Standard Time
Tashkent,(GMT+05:00) Tashkent,Uzbekistan,41.33333206,69.30000305,West Asia Standard Time
Tbilisi,(GMT+04:00) Tbilisi,Georgia,41.71666718,44.81666565,Tbilisi Standard Time
Tegucigalpa,(GMT-06:00) Central America,Honduras,14.10000038,-87.21666718,Central America Standard Time
Tehran,(GMT+03:30) Tehran,Iran,35.67190552,51.43333435,Iran Standard Time
Tel Aviv,"(GMT+02:00) Tel Aviv, Jerusalem",Israel,32.04999924,34.76666641,Israel Standard Time
Tepic,"(GMT-07:00) Chihuahua, La Paz, Mazatlan",Mexico,21.50388908,-104.8944473,Mexico Standard Time 2
The Hague,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Netherlands,52.1333313,4.5,W. Europe Standard Time
Thessaloniki,"(GMT+02:00) Athens, Beirut, Istanbul, Minsk",Greece,40.625,22.95111084,GTB Standard Time
Thies,(GMT) Greenwich Mean Time,Senegal,14.80000019,-16.91666603,Greenwich Standard Time
Thimphu,(GMT+06:00) Central Asia,Bhutan,27.45000076,89.66666412,Central Asia Standard Time
Thiruvananthapuram,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,8.5,76.94999695,India Standard Time
Tianjin,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,39.13333511,117.1833344,China Standard Time
Tijuana,(GMT-08:00) Pacific Time (US & Canada); Tijuana,Mexico,32.53329468,-117.0167007,Pacific Standard Time
Timisoara,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Romania,45.75,21.23333359,FLE Standard Time
Tirana,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Albania,41.33333206,19.79999924,W. Europe Standard Time
Tiraspol,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Moldova,46.85222244,29.63194466,FLE Standard Time
Tiruchirapalli,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,10.80000019,78.69999695,India Standard Time
Tizimin,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,21.14583397,-88.15000153,Mexico Standard Time
Tokyo,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,35.65000153,139.7333374,Tokyo Standard Time
"Toledo, OH",(GMT-05:00) Eastern Time (US & Canada),United States,41.66666794,-83.55000305,Eastern Standard Time
Toluca de Lerdo,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,19.29249954,-99.65694427,Mexico Standard Time
Tomsk,(GMT+07:00) Novosibirsk,Russia,56.46389008,84.96250153,Novosibirsk Standard Time
Toowoomba,(GMT+10:00) Brisbane,Australia,-27.56666756,151.9666595,E. Australia Standard Time
"Toronto, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,43.67027664,-79.38666534,Eastern Standard Time
Torshavn,"(GMT) Dublin, Edinburgh, Lisbon, London",Faroe Islands,62.01666641,-6.766666889,GMT Standard Time
Toulouse,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.59999847,1.450000048,Romance Standard Time
Tours,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,47.38333511,0.699999988,Romance Standard Time
Townsville,(GMT+10:00) Brisbane,Australia,-19.28333282,146.8000031,E. Australia Standard Time
Trelleborg,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,55.36666489,13.16666698,W. Europe Standard Time
Trier,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Germany,49.75361252,6.646111012,W. Europe Standard Time
Trieste,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,45.65638733,13.77861118,W. Europe Standard Time
Tripoli,"(GMT+02:00) Harare, Pretoria",Libya,32.88333511,13.1833334,South Africa Standard Time
Tromso,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,69.66139221,18.95027733,W. Europe Standard Time
Trondheim,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,63.41666794,10.41666698,W. Europe Standard Time
Trujillo,"(GMT-05:00) Bogota, Lima, Quito",Peru,-8.112500191,-79.02999878,SA Pacific Standard Time
Tshwane,"(GMT+02:00) Harare, Pretoria",South Africa,-25.70000076,28.23333359,South Africa Standard Time
Tuapse,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,44.09999847,39.06666565,Russian Standard Time
"Tucson, AZ",(GMT-07:00) Arizona,United States,32.21666718,-110.9333344,US Mountain Standard Time
Tucuman,(GMT-03:00) Argentina,Argentina,-26.80833244,-65.21749878,Argentina Standard Time
Tula,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,54.21666718,37.59999847,Russian Standard Time
Tulcea,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Romania,45.18333435,28.79999924,FLE Standard Time
"Tulsa, OK",(GMT-06:00) Central Time (US & Canada),United States,36.09999847,-95.91666412,Central Standard Time
Tunis,(GMT+01:00) West Central Africa,Tunisia,36.81638718,10.16666698,W. Central Africa Standard Time
Turin,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,45.06666565,7.666666508,W. Europe Standard Time
Turku,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Finland,60.45000076,22.26666641,FLE Standard Time
Tuticorin,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,8.816666603,78.1333313,India Standard Time
Tuzla,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Bosnia and Herzegovina,44.53277588,18.67027855,Central European Standard Time
Tver',"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,56.86666489,35.91666794,Russian Standard Time
Ubon Ratchathani,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Thailand,15.22972202,104.8561096,SE Asia Standard Time
Ubud,"(GMT+08:00) Kuala Lumpur, Singapore",Indonesia,-8.49750042,115.265831,Singapore Standard Time
Udon Thani,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Thailand,17.4066658,102.7900009,SE Asia Standard Time
Ufa,(GMT+06:00) Ekaterinburg,Russia,54.83333206,56.09999847,Ekaterinburg Standard Time
Ulaanbaatar,(GMT+08:00) Ulaanbaatar,Mongolia,47.91666794,106.8833313,Ulaanbaatar Standard Time
Ulan Ude,(GMT+09:00) Irkutsk,Russia,51.84583282,107.5647202,Ikrutsk Standard Time
Upper Hutt,"(GMT+12:00) Auckland, Wellington",New Zealand,-41.13944626,175.031662,New Zealand Standard Time
Uppsala,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,59.84999847,17.64999962,W. Europe Standard Time
Urumqi,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,43.79999924,87.58333588,China Standard Time
Ushuaia,"(GMT-03:00) Georgetown, South America Eastern Time",Argentina,-54.78305435,-68.31639099,SA Eastern Standard Time
Utrecht,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Netherlands,52.0913887,5.122777939,W. Europe Standard Time
Uzhhorod,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,48.6241684,22.29388809,FLE Standard Time
Vaasa,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Finland,63.09999847,21.61666679,FLE Standard Time
Vadodara,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,22.30638885,73.1875,India Standard Time
Vaduz,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Liechtenstein,47.15000153,9.533333778,W. Europe Standard Time
Valaam,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,61.38888931,30.94750023,Russian Standard Time
Valdivia,(GMT-04:00) Chile,Chile,-39.82416534,-73.21333313,Chile Standard Time
Valencia,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,39.46666718,-0.366666675,Romance Standard Time
Valladolid,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,41.64888763,-4.726110935,Romance Standard Time
Vallauris,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",France,43.57944489,7.053055763,Romance Standard Time
Valletta,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Malta,35.90000153,14.51666641,W. Europe Standard Time
"Vancouver, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,49.26361084,-123.1386108,Pacific Standard Time
Vardo,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Norway,70.3833313,31.08333397,W. Europe Standard Time
Varna,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Bulgaria,43.21666718,27.91194534,FLE Standard Time
Vatican City,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Holy See (Vatican City),41.90000153,12.44999981,W. Europe Standard Time
Velikiye Luki,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,56.33333206,30.53333282,Russian Standard Time
Venice,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,45.43333435,12.33333302,W. Europe Standard Time
Veracruz,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,19.17277718,-96.1333313,Mexico Standard Time
Verona,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Italy,45.43333435,10.98333359,W. Europe Standard Time
Vevey,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Switzerland,46.46389008,6.840277672,W. Europe Standard Time
Viana do Castello,"(GMT) Dublin, Edinburgh, Lisbon, London",Portugal,41.70000076,-8.816666603,GMT Standard Time
Victoria,"(GMT+04:00) Abu Dhabi, Muscat",Seychelles,-4.616666794,55.45000076,Arabian Standard Time
Victoria,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Malta,36.04555511,14.24361134,W. Europe Standard Time
"Victoria, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,48.42750168,-123.3672256,Pacific Standard Time
Vidin,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Bulgaria,43.99702454,22.88261986,FLE Standard Time
Viedma,"(GMT-03:00) Georgetown, South America Eastern Time",Argentina,-40.81361008,-62.99416733,SA Eastern Standard Time
Vienna,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Austria,48.21666718,16.33333397,W. Europe Standard Time
"Vienna, VA",(GMT-05:00) Eastern Time (US & Canada),United States,38.9011116,-77.26527405,Eastern Standard Time
